id;Fecha;Ruta;Operadora;Proposito_del_Vuelo;Tipo_de_Aeronave;N_Registro;Total_abordo;Pasajeros_Abordo;Tripulacion_Abordo;N_Fallecidos;Pasajeros_Fallecidos;Tripulacion_Fallecida;Fallecidos_en_Tierra;año
2763;1974-09-15;Phan Rang, South Vietnam;Air Vietnam (South Vietnam);Da Nang - Saigon;Boeing B-727-121C;XV-NJC;75;67;8;75;67;8;0;1974
2764;1974-10-19;Calapan, Philippines;Mabuhay Airways;Roxas City - Calapan;Douglas DC-3;RP-C643;8;4;4;1;0;1;0;1974
2765;1974-10-27;Old Man's Camp, Alaska;Alaska International Air;Fairbanks - Bettles;Lockheed L-100 Hercules;N102AK;4;0;4;4;0;4;0;1974
2766;1974-10-28;Pagosa Springs, Colorado;Hlavka Aviation - Air Taxi;Gallup, NM - Rapid City, SD;Beechcraft 95-B55;N414K;2;1;1;2;1;1;0;1974
2767;1974-11-01;Near Surgut, Russia;Aeroflot;Khanty - Surgut;Antonov An-2 / Mil Mi-8T;CCCP-70766;38;32;6;38;32;6;0;1974
2769;1974-11-20;Near Nairobi, Kenya;Lufthansa;Frankfurt - Nairobi - Johannesburg;Boeing B-747-130;D-ABYB;157;144;13;59;55;4;0;1974
2770;1974-11-20;Soddu, Ethiopia;Ethiopian Airlines;Soddu - Beica;Douglas DC-3;ET-AAR;24;21;3;2;0;2;0;1974
2772;1974-12-01;Near Berryville, Virginia;Trans World Airlines;Columbus - Washington D.C.;Boeing B-727-231;N54328;92;85;7;92;85;7;0;1974
2773;1974-12-01;Bear Mountain,  Thiells, New York;Northwest Orient Airlines;New York City, NY - Buffalo, NY;Boeing B-727-251;N274US;3;0;3;3;0;3;0;1974
2774;1974-12-04;Irkutsk, Russia;Aeroflot;Irkutsk - Kazachinskoye;Antonov An-2 / Antonov An-12;49342/12985;18;11;7;13;11;2;0;1974
2775;1974-12-04;Near Maskeliya, Sri Lanka;Martinair Holland NV;Surabaya - Jeddah;McDonnell Douglas DC-8-55F;PH-MBH;191;182;9;191;182;9;0;1974
2776;1974-12-11;Near Old Harbors, Alaska;Kodiak Airways;Old Harbor - Kodiac;Grumman G-21;N1583V;5;4;1;5;4;1;0;1974
2778;1974-12-14;Bukhara, Uzbekistan;Aeroflot;Bukhara - Dushanbe;Yakovlev 40;CCCP-87630;19;15;4;7;7;0;0;1974
2779;1974-12-22;Maturin, Venezuela;Aerovias Venezolanas SA (Venezuela);Ciudad Bolivar - Maturin - Caracas;McDonnell Douglas DC-9-14;YV-C-AVM;77;71;6;77;71;6;0;1974
2780;1974-12-29;Near Sibiu, Romania;Tarom;Oradea - Sibiu - Bucharest;Antonov AN-24RV;YR-AMD;33;28;5;33;28;5;0;1974
2781;1974-12-29;Tikal, Guatemala;Edwin Ortiz;Tikal - Guatemala City;Lockheed 18 LodeStar;TG-HTM;24;21;3;24;213;3;0;1974
